NO,TEMP,RH,DATE,TIME
652,21.9,83.4,16/02/2025,4:32:01
653,21.8,84.0,16/02/2025,4:42:01
654,21.7,84.6,16/02/2025,4:52:01
655,21.6,85.0,16/02/2025,5:02:01
656,21.6,85.5,16/02/2025,5:12:01
657,21.5,86.1,16/02/2025,5:22:01
658,21.5,87.6,16/02/2025,5:32:01
659,21.4,87.9,16/02/2025,5:42:01
660,21.4,88.2,16/02/2025,5:52:01
661,21.3,88.5,16/02/2025,6:02:01
662,21.3,88.5,16/02/2025,6:12:01
663,21.2,88.7,16/02/2025,6:22:01
664,21.2,88.8,16/02/2025,6:32:01
665,21.2,88.8,16/02/2025,6:42:01
666,21.1,88.8,16/02/2025,6:52:01
667,21.1,88.8,16/02/2025,7:02:01
668,21.1,88.8,16/02/2025,7:12:01
669,21.0,88.8,16/02/2025,7:22:01
670,21.0,88.8,16/02/2025,7:32:01
671,20.9,88.9,16/02/2025,7:42:01
672,20.9,89.0,16/02/2025,7:52:01
673,20.9,89.0,16/02/2025,8:02:01
674,20.8,89.0,16/02/2025,8:12:01
675,20.8,89.0,16/02/2025,8:22:01
676,20.8,89.1,16/02/2025,8:32:01
677,20.7,89.3,16/02/2025,8:42:01
678,20.7,89.5,16/02/2025,8:52:01
679,20.7,89.9,16/02/2025,9:02:01
680,20.8,90.3,16/02/2025,9:12:01
681,20.8,90.6,16/02/2025,9:22:01
682,20.9,90.5,16/02/2025,9:32:01
683,21.0,91.0,16/02/2025,9:42:01
684,21.2,90.5,16/02/2025,9:52:01
685,21.5,89.9,16/02/2025,10:02:01
686,22.0,89.5,16/02/2025,10:12:01
687,22.5,88.3,16/02/2025,10:22:01
688,22.8,86.3,16/02/2025,10:32:01
689,23.0,85.7,16/02/2025,10:42:01
690,23.2,85.2,16/02/2025,10:52:01
691,23.3,85.0,16/02/2025,11:02:01
692,23.5,84.6,16/02/2025,11:12:01
693,23.7,84.5,16/02/2025,11:22:01
694,23.9,83.7,16/02/2025,11:32:01
695,24.0,83.0,16/02/2025,11:42:01
696,24.0,75.2,16/02/2025,11:52:01
697,23.6,69.1,16/02/2025,12:02:01
698,23.3,68.9,16/02/2025,12:12:01
699,23.3,69.8,16/02/2025,12:22:01
700,23.3,71.3,16/02/2025,12:32:01
701,23.3,69.6,16/02/2025,12:42:01
702,23.3,67.8,16/02/2025,12:52:01
703,23.3,69.4,16/02/2025,13:02:01
704,23.2,69.9,16/02/2025,13:12:01
705,23.2,70.7,16/02/2025,13:22:01
706,23.2,71.4,16/02/2025,13:32:01
707,23.2,71.8,16/02/2025,13:42:01
708,23.2,73.1,16/02/2025,13:52:01
709,23.2,73.4,16/02/2025,14:02:01
710,23.2,73.6,16/02/2025,14:12:01
711,23.2,73.6,16/02/2025,14:22:01
712,23.2,73.6,16/02/2025,14:32:01
713,23.3,73.4,16/02/2025,14:42:01
714,23.3,73.1,16/02/2025,14:52:01
715,23.3,72.9,16/02/2025,15:02:01
716,23.5,74.3,16/02/2025,15:12:01
717,23.6,76.1,16/02/2025,15:22:01
718,23.7,74.4,16/02/2025,15:32:01
719,23.8,71.5,16/02/2025,15:42:01
720,23.8,70.8,16/02/2025,15:52:01
721,23.8,70.0,16/02/2025,16:02:01
722,23.8,68.6,16/02/2025,16:12:01
723,23.8,70.0,16/02/2025,16:22:01
